Webid=1adbe8551b9845948efbf8b1f2c88e0a classname=WebForm caption=业务单据 - 新增 Level=
controlid=FBILLSTATUS classname=kdcombo  caption=审批状态 page=0
controlid=F_PAEZ_BUTTON classname=kdbutton  caption=结案 page=0
controlid=FBILLNO classname=textfield  caption=派遣单号 page=0
controlid=FCREATORID classname=textfield  caption=创建人 page=0
controlid=FCREATEDATE classname=datefield  caption=创建日期 page=0
controlid=FMODIFIERID classname=textfield  caption=修改人 page=0
controlid=FMODIFYDATE classname=datefield  caption=修改日期 page=0
controlid=F_PAEZ_ITEMCLASS1 classname=kdcombo  caption=报销状态 page=0
controlid=F_PAEZ_FRAME1 classname=kdexpandcontainer  caption=售后信息 page=0
controlid=F_PAEZ_BASEPROPERTY121 classname=textfield  caption=派遣人工号 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASEPROPERTY1211 classname=textfield  caption=派遣人 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASEPROPERTY1212 classname=textfield  caption=派遣人电话 page=F_PAEZ_FRAME1
controlid=F_PAEZ_ITEMCLASS11 classname=kdcombo  caption=是否提供住宿 page=F_PAEZ_FRAME1
controlid=F_PAEZ_ITEMCLASS111 classname=kdcombo  caption=是否提供伙食 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASEPROPERTY1213 classname=textfield  caption=出差人工号 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASEPROPERTY12111 classname=textfield  caption=出差人 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASEPROPERTY12121 classname=textfield  caption=出差人电话 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASEPROPERTY121211 classname=textfield  caption=出差人职称 page=F_PAEZ_FRAME1
controlid=F_PAEZ_ITEMCLASS1111 classname=kdcombo  caption=交通费由 page=F_PAEZ_FRAME1
controlid=F_PAEZ_DATE classname=datefield  caption=实际回厂日期 page=F_PAEZ_FRAME1
controlid=F_PAEZ_DATE1 classname=datefield  caption=出厂日期 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASEPROPERTY121111 classname=textfield  caption=实际出厂天数 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASEPROPERTY1211111 classname=textfield  caption=责任部门 page=F_PAEZ_FRAME1
controlid=F_PAEZ_BASE classname=bosf7field  caption=基础资料 page=0
